tv 	 segmentId 	 segmentName 	 notMatch 	 num 	 segmentSortOrder 	 statisticsType 	 startTime 	 name 	 place 	 team2 	 regionId 	 team1 	 sortOrder 	 team1Id 	 namePrefix 	 sportId 	 id 	 team2Id 	 liveHalf 	 sportName 	 
none 	 56714 	 Футбол. Россия. Премьер-Лига. Лучший бомбардир 	 True 	 206 	 1+++8+++-+++-|++-Xy++2S+0uS-QP++Bq8 	 BetRadar 	 1645891200 	  	 line 	 none 	 643 	 Дзюба А 	 2IxI+1C-iwaO 	 8911 	 10 голов 	 1 	 29084058 	 0 	 none 	 Футбол 	 
none 	 72780 	 Киберспорт. Dota 2. Dota Pro Circuit. Восточная Европа. Нижний дивизион. Из 3-х карт 	 none 	 41062 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SBq+FlA 	 BetRadar 	 1642428000 	  	 notActive 	 Gambit Esports 	 none 	 Nemiga Gaming 	 24rQ8-a-tc+f 	 357112 	 none 	 29086 	 31883307 	 524991 	 none 	 Киберспорт 	 
none 	 13178 	 Американский футбол. NFL 	 none 	 54375 	 1++1G+++P+++4x+++++1Bt+0Uw+1Bu 	 BetRadar 	 1641146400 	  	 line 	 Джексонвилл Джагуарс 	 840 	 Нью-Ингленд Пэтриотс 	 2-dgBFb-tnpJ 	 492162 	 none 	 6 	 31931733 	 492143 	 none 	 Американский футбол 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52475 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641064260 	  	 notActive 	 Ман. Сити (dm1trena) 	 none 	 Тоттенхэм (Chellovekk) 	 2-IHAnv-u2M0 	 414637 	 none 	 1 	 31999490 	 403463 	 none 	 Футбол 	 
none 	 72817 	 Баскетбол. Тайвань. T1 League 	 none 	 46390 	 1+++S+++1+++1x-U5Y+Flk+++8+Fll 	 BetRadar 	 1641115800 	  	 notActive 	 Гаосюн Аквас 	 158 	 Тайнан ТСГ Гоставкс 	 2-Vi9Iq-u0tJ 	 509227 	 none 	 3 	 31993429 	 521184 	 none 	 Баскетбол 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52435 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641059940 	  	 notActive 	 Челси (mooneycb) 	 none 	 Тоттенхэм (Chellovekk) 	 2-H9AnH-u2LO 	 414637 	 none 	 1 	 31999450 	 405534 	 none 	 Футбол 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52466 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641062820 	  	 notActive 	 Ман. Юнайтед (Kodak) 	 none 	 Тоттенхэм (Chellovekk) 	 2-HvAnm-u2Lt 	 414637 	 none 	 1 	 31999481 	 416422 	 none 	 Футбол 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52463 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641062820 	  	 notActive 	 Челси (mooneycb) 	 none 	 Ливерпуль (Flewless_phoenix) 	 2-HvAnj-u2Lq 	 413915 	 none 	 1 	 31999478 	 405534 	 none 	 Футбол 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52450 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641061380 	  	 notActive 	 Ливерпуль (Flewless_phoenix) 	 none 	 Тоттенхэм (Chellovekk) 	 2-HXAnW-u2Ld 	 414637 	 none 	 1 	 31999465 	 413915 	 none 	 Футбол 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52447 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641061380 	  	 notActive 	 Ман. Сити (dm1trena) 	 none 	 Ман. Юнайтед (Kodak) 	 2-HXAnT-u2La 	 416422 	 none 	 1 	 31999462 	 403463 	 none 	 Футбол 	 
none 	 72780 	 Киберспорт. Dota 2. Dota Pro Circuit. Восточная Европа. Нижний дивизион. Из 3-х карт 	 none 	 62275 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SBq+FlA 	 BetRadar 	 1641726000 	  	 notActive 	 B8 	 none 	 Winstrike Team 	 22+cDB1-rXlc 	 358967 	 none 	 29086 	 31341672 	 357648 	 none 	 Киберспорт 	 
none 	 72781 	 Киберспорт. Dota 2. Dota Pro Circuit. Китай. Верхний дивизион. Из 3-х карт 	 none 	 62019 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SC++FlB 	 BetRadar 	 1641704400 	  	 notActive 	 Phoenix Gaming 	 none 	 Invictus Gaming 	 21v+D71-rXhu 	 357285 	 none 	 29086 	 31341434 	 395265 	 none 	 Киберспорт 	 
none 	 72781 	 Киберспорт. Dota 2. Dota Pro Circuit. Китай. Верхний дивизион. Из 3-х карт 	 none 	 62027 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SC++FlB 	 BetRadar 	 1641726000 	  	 notActive 	 Vici Gaming 	 none 	 PSG.LGD 	 22+cD79-rXi0 	 357286 	 none 	 29086 	 31341442 	 357287 	 none 	 Киберспорт 	 
none 	 72781 	 Киберспорт. Dota 2. Dota Pro Circuit. Китай. Верхний дивизион. Из 3-х карт 	 none 	 62023 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SC++FlB 	 BetRadar 	 1641715200 	  	 notActive 	 LBZS 	 none 	 Royal Never Give Up 	 21xoD75-rXhy 	 357289 	 none 	 29086 	 31341438 	 394878 	 none 	 Киберспорт 	 
none 	 56714 	 Футбол. Россия. Премьер-Лига. Лучший бомбардир 	 True 	 208 	 1+++8+++-+++-|++-Xy++2S+0uS-QP++Bq8 	 BetRadar 	 1645891200 	  	 line 	 none 	 643 	 Смолов Ф 	 2IxI+1E-jXr6 	 157487 	 7 голов 	 1 	 29244872 	 0 	 none 	 Футбол 	 
